#separator:tab
#html:true
#notetype:Mandarin Vocabulary
#deck:Mandarin::Vocabulary
#columns:Hanzi	Pinyin	English	ExampleHanzi	ExamplePinyin	ExampleEnglish	Notes
猫	māo	cat	我有一只猫。	Wǒ yǒu yì zhī māo.	I have a cat.	Measure word: 只 (zhī) for most animals.
读	dú	to read (aloud); to study	请读这个句子。	Qǐng dú zhège jùzi.	Please read this sentence.	More formal than 看 (kàn). 读 emphasizes reading aloud or studying (读书 = study/attend school), while 看 covers silent reading (看书 = read a book). 读 + 大学 = "attend university".
字	zì	character / written word	这个字怎么写？	Zhège zì zěnme xiě?	How do you write this character?	Refers to a single written character. Measure word: 个. Distinguish from 词 (cí, "word", which can be multiple characters).
汉字	Hànzì	Chinese character	汉字很难写。	Hànzì hěn nán xiě.	Chinese characters are hard to write.	The writing system used for Chinese (and historically Japanese kanji, Korean hanja).
怎么	zěnme	how	这个字怎么读？	Zhège zì zěnme dú?	How do you read this character?	Typically followed by a verb: 怎么去 (how to go), 怎么说 (how to say), 怎么写 (how to write). Contrast with 什么 (shénme, "what"), which is followed by a noun. Also asks "why/how come": 你怎么不来？ (why aren't you coming?).
厨房	chúfáng	kitchen	妈妈在厨房做饭。	Māma zài chúfáng zuò fàn.	Mom is cooking in the kitchen.	厨师 (chúshī) = chef/cook.
机场	jīchǎng	airport	我去机场接朋友。	Wǒ qù jīchǎng jiē péngyou.	I'm going to the airport to pick up a friend.	
车站	chēzhàn	station / (bus/train) stop	车站离这儿不远。	Chēzhàn lí zhèr bù yuǎn.	The station isn't far from here.	车 (vehicle) + 站 (stand/station). 公共汽车站 (gōnggòng qìchēzhàn) = bus stop; 火车站 (huǒchēzhàn) = train station; 地铁站 (dìtiězhàn) = subway station.
飞机	fēijī	airplane	这架飞机很大。	Zhè jià fēijī hěn dà.	This airplane is big.	飞 (fly) + 机 (machine). Measure word: 架 (jià). 坐飞机 (zuò fēijī) = "to take a plane" (lit. sit on a plane).
飞	fēi	to fly	鸟在天上飞。	Niǎo zài tiānshàng fēi.	The birds are flying in the sky.	
机器	jīqì	machine	这台机器坏了。	Zhè tái jīqì huài le.	This machine is broken.	机 (machine) + 器 (device/instrument). Measure word: 台 (tái). 机器人 (jīqìrén) = robot.
公园	gōngyuán	park	周末我们去公园吧。	Zhōumò wǒmen qù gōngyuán ba.	Let's go to the park on the weekend.	Don't confuse with 公司 (gōngsī, company).
咖啡	kāfēi	coffee	我每天早上喝咖啡。	Wǒ měitiān zǎoshang hē kāfēi.	I drink coffee every morning.	
东	dōng	east	太阳从东边升起。	Tàiyáng cóng dōngbiān shēngqǐ.	The sun rises from the east.	The conventional Chinese ordering of cardinal directions is 东西南北 (E-W-S-N), not N-S-E-W. 东西 (dōngxi) = "thing/stuff" (different word, neutral tone on 西).
西	xī	west	太阳从西边落下。	Tàiyáng cóng xībiān luòxià.	The sun sets in the west.	
南	nán	south	我家在城市的南边。	Wǒ jiā zài chéngshì de nánbiān.	My home is in the south of the city.	南京 (Nánjīng) = "southern capital", contrast with 北京.
北	běi	north	北边比南边冷。	Běibiān bǐ nánbiān lěng.	The north is colder than the south.	北京 (Běijīng) = "northern capital".
走	zǒu	to walk; to go; to leave	我们走吧！	Wǒmen zǒu ba!	Let's go!	Three related uses: (1) walk on foot (走路 zǒulù), (2) leave/depart (我先走了 = "I'm off"), (3) general "go" in some phrases. Distinguish from 去 (qù), which is "go to (a place)".
走遍	zǒubiàn	to travel all over / to go everywhere (in a place)	他走遍了中国。	Tā zǒubiàn le Zhōngguó.	He has traveled all over China.	Pattern: verb + 遍 (biàn) = do the action "throughout/everywhere". Different from the measure word 遍 ("times"): 看了三遍 = "watched it three times".
找	zhǎo	to look for / to find	我在找我的钥匙。	Wǒ zài zhǎo wǒ de yàoshi.	I'm looking for my keys.	Primary meaning is "look for" (the action). For the result "found", add a complement: 找到 (zhǎodào).
都	dōu	all / both (adverb)	我们都会说汉语。	Wǒmen dōu huì shuō Hànyǔ.	We can all speak Chinese.	Adverb placed BEFORE the verb, referring back to a plural subject (or to elements introduced earlier). Also pairs with question words for "any/every": 谁都 (anyone), 什么都 (anything), 哪儿都 (anywhere). Different word: 都 (dū) = "capital/metropolis".
豆腐	dòufu	tofu	我喜欢吃豆腐。	Wǒ xǐhuan chī dòufu.	I like to eat tofu.	腐 is neutral tone here.
麻婆豆腐	mápó dòufu	mapo tofu	麻婆豆腐是四川菜。	Mápó dòufu shì Sìchuān cài.	Mapo tofu is a Sichuan dish.	Classic Sichuan dish — both spicy (辣 là) and 麻 (má, numbing) from Sichuan peppercorn. 麻辣 (málà) = "numbing-spicy".
忙	máng	busy	我今天很忙。	Wǒ jīntiān hěn máng.	I'm very busy today.	Adjective — usually paired with 很. Opposite: 闲 (xián, free/idle).
不忙	bù máng	not busy	我今天不忙。	Wǒ jīntiān bù máng.	I'm not busy today.	不 + 忙. No tone sandhi here — 不 stays bù before 2nd-tone 忙 (sandhi only applies before 4th tone).
请	qǐng	please; to invite; to treat	请坐。	Qǐng zuò.	Please sit down.	Three uses: (1) "please" before a verb (请进 = please come in), (2) invite (请朋友吃饭 = invite a friend to dinner), (3) treat/pay for (我请你 = "my treat").
问	wèn	to ask	我想问你一个问题。	Wǒ xiǎng wèn nǐ yí ge wèntí.	I want to ask you a question.	Pattern: 问 + person + 问题 (ask sb a question).
请问	qǐngwèn	may I ask / excuse me	请问，洗手间在哪儿？	Qǐngwèn, xǐshǒujiān zài nǎr?	Excuse me, where's the restroom?	Polite opener when asking a stranger a question.
今天	jīntiān	today	今天天气很好。	Jīntiān tiānqì hěn hǎo.	The weather is nice today.	
昨天	zuótiān	yesterday	昨天我去了图书馆。	Zuótiān wǒ qù le túshūguǎn.	Yesterday I went to the library.	
明天	míngtiān	tomorrow	明天见！	Míngtiān jiàn!	See you tomorrow!	明天见 = standard "see you tomorrow".
号	hào	day of the month (spoken); number	今天几号？	Jīntiān jǐ hào?	What's the date today?	Spoken form for day of the month. Pattern: number + 号 = "the Nth" (五月十号 = May 10). Written equivalent: 日 (rì).
日	rì	day of the month (written); day; sun	今天是五月十日。	Jīntiān shì wǔ yuè shí rì.	Today is May 10.	Written/formal counterpart of 号 (hào). Same pattern: number + 日 = "the Nth" of the month. In speech, 号 is used; in writing, calendars, and official documents, 日 is used.
月	yuè	month; moon	这个月我很忙。	Zhège yuè wǒ hěn máng.	I'm very busy this month.	Pattern: number + 月 = month name (一月 = January … 十二月 = December). 个月 is the measure word phrase for duration: 三个月 = "three months".
年	nián	year	今年是二零二六年。	Jīnnián shì èr líng èr liù nián.	This year is 2026.	For year numbers, digits are read out one by one (NOT as a regular number): 2026 = 二零二六年, not *两千零二十六年. As a duration noun, takes regular numbers and NO measure word: 一年, 两年.
周	zhōu	week	这周我们有考试。	Zhè zhōu wǒmen yǒu kǎoshì.	We have an exam this week.	More natural/concise alternative to 星期 (xīngqī) in everyday speech. Days: 周一 (Mon) … 周六 (Sat), 周日 (Sun, preferred — 周天 is rare/nonstandard). 周末 (zhōumò) = weekend.
周末	zhōumò	weekend	周末你做什么？	Zhōumò nǐ zuò shénme?	What are you doing this weekend?	
一共	yīgòng	altogether / in total	我们一共有五个人。	Wǒmen yīgòng yǒu wǔ ge rén.	We have five people in total.	Often appears as 一共 + 有 + number = "have a total of". Also with 是 / verb: 一共多少钱？ = "how much in total?". Adverb — placed before the verb.
看书	kàn shū	to read (a book)	我喜欢看书。	Wǒ xǐhuan kàn shū.	I like reading.	Verb-object compound — can be split: 看了两本书 (read two books). General "read" in everyday speech; more formal: 读书 (dúshū, also "to study").
银行	yínháng	bank	我去银行取钱。	Wǒ qù yínháng qǔ qián.	I'm going to the bank to withdraw money.	行 is read háng here ("firm/business"), NOT xíng ("to go"). Also 行业 (hángyè, industry).
银	yín	silver	这是银做的。	Zhè shì yín zuò de.	This is made of silver.	Component in 银行 (bank, "silver business").
日历	rìlì	calendar	桌子上有一本日历。	Zhuōzi shàng yǒu yì běn rìlì.	There's a calendar on the desk.	Measure word: 本 (běn).
咖啡馆儿	kāfēiguǎnr	coffee house / café	我们去咖啡馆儿坐坐吧。	Wǒmen qù kāfēiguǎnr zuò zuo ba.	Let's go sit at a café.	The 儿化 is characteristic of Beijing/northern speech; without it: 咖啡馆. Often a smaller/cozier spot than 咖啡店.
咖啡店	kāfēidiàn	coffee shop	这家咖啡店的咖啡很好喝。	Zhè jiā kāfēidiàn de kāfēi hěn hǎohē.	The coffee at this coffee shop is great.	Similar to 咖啡馆儿; 店 leans more "shop/store" while 馆 leans "establishment/parlor". Measure word: 家 (jiā).
高兴	gāoxìng	happy / glad	我今天很高兴。	Wǒ jīntiān hěn gāoxìng.	I'm very happy today.	Often expresses situational happiness (about meeting someone, hearing news). Compare 开心 (kāixīn, casual "happy") and 快乐 (kuàilè, "joyful").
认识	rènshi	to know / to be acquainted with	我认识他。	Wǒ rènshi tā.	I know him.	认 (recognize) + 识 (know). Used for people, places, words — anything you've been introduced to or are familiar with by recognition. Compare 知道 (zhīdào, "to know" a fact/piece of information): 我认识她 (I know her, as a person) vs. 我知道她 (I know of her).
很高兴认识你	hěn gāoxìng rènshi nǐ	nice to meet you (formal)	您好，很高兴认识你。	Nín hǎo, hěn gāoxìng rènshi nǐ.	Hello, nice to meet you.	Standard polite first-meeting greeting. Reply: 我也很高兴认识你. More casual alternative: 幸会 (xìnghuì).
也	yě	also / too	我也会说汉语。	Wǒ yě huì shuō Hànyǔ.	I can also speak Chinese.	Adverb placed BEFORE the verb (NOT at the end like English "too"). Common reply pattern: 我也是 ("me too").
幸会	xìnghuì	nice to meet you (lit. "lucky to meet")	幸会，幸会！	Xìnghuì, xìnghuì!	A pleasure to meet you!	Slightly formal/elegant — often doubled (幸会幸会) for warmth. More literary/old-fashioned than 很高兴认识你.
开会	kāihuì	to have a meeting / to be in a meeting	我现在在开会。	Wǒ xiànzài zài kāihuì.	I'm in a meeting right now.	Verb-object compound — can be split: 开了一个小时的会. 会议 (huìyì) = "meeting" as a standalone noun.
野餐	yěcān	picnic	周末我们去公园野餐吧。	Zhōumò wǒmen qù gōngyuán yěcān ba.	Let's go on a picnic in the park this weekend.	Both noun and verb: 一次野餐 (a picnic), 去野餐 (go on a picnic).
时间	shíjiān	time	你有时间吗？	Nǐ yǒu shíjiān ma?	Do you have time?	时 (time/hour) + 间 (interval). General word for "time" as a resource or period. Distinguish from 时候 (shíhou, "moment/when": 那个时候 = at that time) and 点 (diǎn, "o'clock": 三点 = 3 o'clock).
词典	cídiǎn	dictionary	我有一本汉英词典。	Wǒ yǒu yì běn Hàn-Yīng cídiǎn.	I have a Chinese-English dictionary.	Near-synonym: 字典 (zìdiǎn) — strictly a "character dictionary" (single 字), while 词典 covers multi-character words (词). Often used interchangeably.
蓝色	lánsè	blue (color)	我喜欢蓝色。	Wǒ xǐhuan lánsè.	I like the color blue.	Pattern: color + 色 = color name (红色, 黄色, 绿色, 黑色, 白色…).
电影	diànyǐng	movie / film	这部电影很好看。	Zhè bù diànyǐng hěn hǎokàn.	This movie is really good.	Measure word: 部 (bù). 电影院 (diànyǐngyuàn) = movie theater.
看电影	kàn diànyǐng	to watch a movie	我们去看电影吧。	Wǒmen qù kàn diànyǐng ba.	Let's go watch a movie.	Verb-object compound — can be split: 看了一部电影 (watched a movie).
生日	shēngrì	birthday	今天是我的生日。	Jīntiān shì wǒ de shēngrì.	Today is my birthday.	过生日 (guò shēngrì) = "to celebrate a birthday" (lit. "pass a birthday").
生日快乐	shēngrì kuàilè	happy birthday	祝你生日快乐！	Zhù nǐ shēngrì kuàilè!	Happy birthday to you!	Word order is reversed vs. English: literally "birthday happy". Same pattern: 新年快乐, 圣诞快乐. Often preceded by 祝你 (zhù nǐ, "wishing you").
鸡肉	jīròu	chicken (meat)	我喜欢吃鸡肉。	Wǒ xǐhuan chī jīròu.	I like to eat chicken.	Pattern: animal + 肉 = its meat (牛肉 beef, 猪肉 pork, 羊肉 lamb). ⚠️ Homophone: 肌肉 (jīròu, muscle).
肌肉	jīròu	muscle	他的肌肉很大。	Tā de jīròu hěn dà.	His muscles are big.	⚠️ True homophone of 鸡肉 (chicken meat); context disambiguates.
米饭	mǐfàn	(cooked) rice	请给我一碗米饭。	Qǐng gěi wǒ yì wǎn mǐfàn.	Please give me a bowl of rice.	Three related words: 米 = raw rice, 饭 = a meal / cooked rice generically, 米饭 = specifically cooked white rice. Measure word: 碗 (wǎn, bowl).
和	hé	and (between nouns)	我和你都是学生。	Wǒ hé nǐ dōu shì xuésheng.	You and I are both students.	The standard conjunction "and" for joining noun-like items: 茶和咖啡 (tea and coffee), 爸爸和妈妈 (dad and mom). NOT used to join clauses or verbs — for those use 然后 (then), 而且 (moreover), or just no conjunction. Also a verb "to harmonize" and a common surname.
与	yǔ	and; with (formal)	中国与世界	Zhōngguó yǔ shìjiè	China and the world	Formal/written equivalent of 和, used to in headlines and literary contexts: 战争与和平 (War and Peace). Rare in everyday speech.
好的	hǎo de	okay / sure / alright / got it	——明天见！——好的！	—Míngtiān jiàn! —Hǎo de!	—See you tomorrow! —Okay!	A soft acknowledgement, slightly more polite than bare 好. In text/chat often shortened to 好 or 好滴.
饭	fàn	meal; cooked rice	该吃饭了。	Gāi chīfàn le.	Time to eat.	Two related meanings: (1) cooked rice (米饭), (2) a meal generally (吃饭 = eat a meal).
早饭	zǎofàn	breakfast	我早饭吃面包。	Wǒ zǎofàn chī miànbāo.	I have bread for breakfast.	Slightly more formal synonym: 早餐 (zǎocān).
午饭	wǔfàn	lunch	我们一起吃午饭吧。	Wǒmen yìqǐ chī wǔfàn ba.	Let's have lunch together.	Slightly more formal synonym: 午餐 (wǔcān).
晚饭	wǎnfàn	dinner / supper	晚饭你想吃什么？	Wǎnfàn nǐ xiǎng chī shénme?	What do you want for dinner?	Slightly more formal synonym: 晚餐 (wǎncān).
茶	chá	tea	请给我一杯茶。	Please give me a cup of tea.	Qǐng gěi wǒ yì bēi chá.	Measure word: 杯 (bēi, cup) — 一杯茶.
想	xiǎng	to want / would like; to think; to miss	我想喝水。	Wǒ xiǎng hē shuǐ.	I want some water.	Three common uses: (1) want / would like (with verb): softer/more polite than 要 (yào). (2) to think / suppose: 我想他对了 (I think he's right). (3) to miss someone: 我想你 (I miss you). At beginner level, the "would like to" use is most frequent.
水	shuǐ	water	多喝水！	Duō hē shuǐ!	Drink more water!	Measure word: 杯 (bēi) — 一杯水. Also "liquid" in compounds: 汽水 (soda), 香水 (perfume).
绿茶	lǜchá	green tea	我每天早上喝绿茶。	Wǒ měitiān zǎoshang hē lǜchá.	I drink green tea every morning.	
绿色	lǜsè	green (color)	她喜欢绿色。	Tā xǐhuan lǜsè.	She likes the color green.	
白茶	báichá	white tea	白茶是福建的特产。	Báichá shì Fújiàn de tèchǎn.	White tea is a specialty of Fujian.	
白色	báisè	white (color)	这件衣服是白色的。	Zhè jiàn yīfu shì báisè de.	This piece of clothing is white.	In Chinese tradition, white is associated with mourning and funerals (contrast 红色 with happiness).
黄茶	huángchá	yellow tea	黄茶比较少见。	Huángchá bǐjiào shǎojiàn.	Yellow tea is fairly rare.	A rare specialty category.
黄色	huángsè	yellow (color)	太阳是黄色的。	Tàiyáng shì huángsè de.	The sun is yellow.	⚠️ Modern slang: also means "pornographic" (黄色电影 = adult film) — be careful in context. Historically the imperial color.
青茶	qīngchá	oolong tea (formal/classification term)	青茶就是乌龙茶。	Qīngchá jiùshì wūlóngchá.	"Qing tea" is just oolong tea.	青 (blue-green / dark) + 茶. The traditional six-tea-classification name for oolong. Rarely used in everyday speech — most people say 乌龙茶 (wūlóngchá). 青 covers a range of dark green/blue shades.
乌龙茶	wūlóngchá	oolong tea	我喜欢喝乌龙茶。	Wǒ xǐhuan hē wūlóngchá.	I like oolong tea.	Literally "black dragon tea". Partially oxidized, between green and red ("black") tea.
红茶	hóngchá	black tea (lit. "red tea")	英国人喜欢喝红茶。	Yīngguó rén xǐhuan hē hóngchá.	The British love black tea.	红 (red) + 茶. ⚠️ False friend: what English calls "black tea" is 红茶 in Chinese — named after the reddish color of the brewed liquor, not the leaves. Chinese 黑茶 (hēichá) is a different category (fermented dark teas like 普洱).
红色	hóngsè	red (color)	她穿了一件红色的裙子。	Tā chuān le yí jiàn hóngsè de qúnzi.	She wore a red dress.	The luckiest color in Chinese culture — associated with happiness, weddings, and good fortune.
黑茶	hēichá	dark / fermented tea	普洱是一种黑茶。	Pǔ'ěr shì yì zhǒng hēichá.	Pu'er is a kind of dark tea.	黑 (black) + 茶. ⚠️ NOT the same as English "black tea" (that's 红茶). 黑茶 refers to post-fermented "dark teas" that age over time. Most famous: 普洱 (Pǔ'ěr) from Yunnan.
黑色	hēisè	black (color)	我的猫是黑色的。	Wǒ de māo shì hēisè de.	My cat is black.	
每天	měitiān	every day	我每天喝咖啡。	Wǒ měitiān hē kāfēi.	I drink coffee every day.	每 (every) + 天 (day). Adverb of frequency, placed BEFORE the verb. Often pairs with 都 (dōu) for emphasis: 我每天都喝咖啡.
每	měi	every / each	每个人都有名字。	Měi ge rén dōu yǒu míngzi.	Everyone has a name.	Pattern: 每 + measure word + noun. Almost always paired with 都 (dōu) in the predicate to emphasize "all/each one".
上午	shàngwǔ	morning (before noon)	我上午有课。	Wǒ shàngwǔ yǒu kè.	I have class in the morning.	Roughly 9 AM – noon. Distinguish from 早上 (zǎoshang, early morning) and 中午 (zhōngwǔ, midday).
中午	zhōngwǔ	noon / midday	我们中午一起吃午饭。	Wǒmen zhōngwǔ yìqǐ chī wǔfàn.	Let's have lunch together at noon.	
下午	xiàwǔ	afternoon	下午我去图书馆。	Xiàwǔ wǒ qù túshūguǎn.	I'm going to the library in the afternoon.	Roughly 1 PM – 6 PM. Followed by 晚上 (wǎnshang, evening).
商店	shāngdiàn	shop / store	这家商店很大。	Zhè jiā shāngdiàn hěn dà.	This store is big.	Measure word: 家 (jiā).
买	mǎi	to buy / to purchase	我想买一本书。	Wǒ xiǎng mǎi yì běn shū.	I want to buy a book.	⚠️ Pair with 卖 (mài, to sell) — same characters minus a stroke, only the tone differs: mǎi (3rd, buy) vs mài (4th, sell). A classic source of confusion: 买东西 (go shopping) vs 卖东西 (sell things).
兔子	tùzi	rabbit	那只兔子很可爱。	Nà zhī tùzi hěn kě'ài.	That rabbit is so cute.	Measure word: 只 (zhī).
头	tóu	head; (measure word for large animals)	我家有两头牛。	Wǒ jiā yǒu liǎng tóu niú.	My family has two cows.	Primary meaning: head — 头发 (tóufa, hair), 头疼 (tóuténg, headache). As a measure word, used for LARGE animals: 一头牛 (a cow), 一头猪 (a pig), 一头大象 (an elephant), 一头狮子 (a lion). Compare 只 (zhī) for small animals.
杯子	bēizi	cup / glass / mug	桌子上有一个杯子。	Zhuōzi shàng yǒu yí ge bēizi.	There's a cup on the table.	杯 (cup) + 子 (noun suffix). Measure word for the object itself: 个 (gè). 杯 alone is also used as a measure word for what's IN the cup: 一杯水 (a cup of water), 一杯茶 (a cup of tea).
多少	duōshao	how much / how many	你们班有多少学生？	Nǐmen bān yǒu duōshao xuésheng?	How many students are in your class?	多 (many) + 少 (few). For larger or unknown quantities (no upper limit). Compare 几 (jǐ), used for small numbers (under ~10). Most common collocation: 多少钱 (how much / how much does it cost). 少 here is read as neutral tone shao.
钱	qián	money	我没钱了。	Wǒ méi qián le.	I'm out of money.	Measure words for amounts: colloquial 块/毛/分 vs. formal 元/角/分. Pattern: number + 块(钱) = N yuan (五块钱 = 5 yuan).
多少钱	duōshao qián	how much (does it cost)?	这个多少钱？	Zhège duōshao qián?	How much is this?	The standard price question. Pattern: noun + 多少钱: 这个多少钱? (how much is this?), 一斤多少钱? (how much per jin?). Reply pattern: number + 块(钱): 五块钱 = 5 yuan, 二十块 = 20 yuan.
工程师	gōngchéngshī	engineer	我爸爸是工程师。	Wǒ bàba shì gōngchéngshī.	My dad is an engineer.	师 is a common professional suffix: 老师, 医师 (yīshī, physician), 律师 (lǜshī, lawyer).
多少岁了	duōshao suì le	how old (is someone)?	你多少岁了？	Nǐ duōshao suì le?	How old are you?	Same meaning and usage as 多大了. For children under ~10, use 几岁了 instead.
椅子	yǐzi	chair	这把椅子很舒服。	Zhè bǎ yǐzi hěn shūfu.	This chair is comfortable.	Measure word: 把 (bǎ), used for things you grip.
把	bǎ	(measure word for things with a handle / that you grip)	我买了一把伞。	Wǒ mǎi le yì bǎ sǎn.	I bought an umbrella.	Used for items with a handle or that you grip: 椅子 (chair), 伞 (umbrella), 刀 (knife), 钥匙 (key). Also a common grammatical particle (把 construction) — different use.
奶	nǎi	milk	我早上喝牛奶。	Wǒ zǎoshang hē niúnǎi.	I drink milk in the morning.	Usually appears as 牛奶 (niúnǎi, "cow milk") for the everyday drink. Also in 奶奶 (grandma) and 奶茶 (milk tea).
奶茶	nǎichá	milk tea	我想喝一杯奶茶。	Wǒ xiǎng hē yì bēi nǎichá.	I want a cup of milk tea.	Hugely popular in China and Taiwan. Bubble tea = 珍珠奶茶 (zhēnzhū nǎichá).
要	yào	to want; to need / must; will	我要一杯咖啡。	Wǒ yào yì bēi kāfēi.	I want a cup of coffee.	Multiple uses: (1) want (with object), more direct than 想. (2) need/must (with verb): 我要走了 = "I have to go". (3) future/will: 明天要下雨 (it's going to rain tomorrow). Compare 想 (softer, "would like").
想要	xiǎng yào	to want (softer / would like)	我想要一杯茶。	Wǒ xiǎng yào yì bēi chá.	I'd like a cup of tea.	Combines 想 (would like) + 要 (want). Slightly more polite than 要 alone; common when requesting or expressing desires.
角	jiǎo	0.1 yuan (formal)	一元等于十角。	Yì yuán děngyú shí jiǎo.	1 yuan equals 10 jiao.	Formal/written unit for 1/10 of 元. Colloquial equivalent: 毛 (máo). Seen on prices and receipts; rarely spoken.
毛	máo	0.1 yuan (colloquial)	这个五毛钱。	Zhège wǔ máo qián.	This costs 5 mao (0.5 yuan).	Colloquial unit for 1/10 of 元 (= 块). Formal equivalent: 角 (jiǎo). Also means "hair/fur/feather".
字母	zìmǔ	letter (of an alphabet)	英文有二十六个字母。	Yīngwén yǒu èrshíliù ge zìmǔ.	English has 26 letters.	Refers to alphabet letters (Latin, Greek, etc.), NOT Chinese characters — those are 字 (zì).
客	kè	guest / customer	今天家里有客人。	Jīntiān jiā lǐ yǒu kèrén.	We have guests at home today.	Rarely stands alone; appears in compounds: 客人 (guest), 顾客 (gùkè, customer), 客厅 (living room), 客气 (polite), 请客 (treat sb).
厅	tīng	hall / large room	餐厅在楼下。	Cāntīng zài lóuxià.	The dining room is downstairs.	Suffix for large rooms/halls: 客厅 (living room), 餐厅 (dining room/restaurant), 舞厅 (wǔtīng, dance hall).
客厅	kètīng	living room	我们在客厅看电视。	Wǒmen zài kètīng kàn diànshì.	We're watching TV in the living room.	Literally "guest hall" — the main reception/social room of a home.
哥哥	gēge	older brother	我哥哥比我大三岁。	Wǒ gēge bǐ wǒ dà sān suì.	My older brother is 3 years older than me.	Second 哥 is neutral tone. Chinese siblings are distinguished by relative age (older vs younger).
弟弟	dìdi	younger brother	我有一个弟弟。	Wǒ yǒu yí ge dìdi.	I have a younger brother.	Second 弟 is neutral tone.
姐姐	jiějie	older sister	我姐姐是医生。	Wǒ jiějie shì yīshēng.	My older sister is a doctor.	Second 姐 is neutral tone. Also used as a friendly address for a slightly older woman (王姐 = "Sister Wang").
妹妹	mèimei	younger sister	我妹妹上大学。	Wǒ mèimei shàng dàxué.	My younger sister is in college.	Second 妹 is neutral tone.
手	shǒu	hand	请举手。	Qǐng jǔ shǒu.	Please raise your hand.	Base for many compounds: 手机 (phone), 手表 (watch), 手套 (glove), 洗手 (wash hands), 手指 (finger).
手机	shǒujī	cell phone / mobile phone	我的手机没电了。	Wǒ de shǒujī méi diàn le.	My phone is out of battery.	Literally "hand machine". Measure word: 部 (bù) or 个.
手镯	shǒuzhuó	bracelet / bangle	这个手镯很漂亮。	Zhège shǒuzhuó hěn piàoliang.	This bracelet is beautiful.	Traditional Chinese bracelets are often jade (玉镯) or silver.
手表	shǒubiǎo	(wrist)watch	我的手表是新的。	Wǒ de shǒubiǎo shì xīn de.	My watch is new.	Distinguish from wall/table clock: 钟 (zhōng). Measure word: 块 (kuài) or 个.
手套	shǒutào	gloves	冬天要戴手套。	Dōngtiān yào dài shǒutào.	In winter you should wear gloves.	Measure word: 双 (shuāng, pair) or 副 (fù).
正	zhèng	upright; right; exactly; just (in the middle of)	现在正五点。	Xiànzài zhèng wǔ diǎn.	It's exactly 5 o'clock now.	Has exactly 5 strokes — used as the Chinese tally mark. Also: correct (答案正确), just now / in progress (正在 = "in the middle of doing").
钟	zhōng	clock; bell	墙上有一个钟。	Qiáng shàng yǒu yí ge zhōng.	There's a clock on the wall.	钅 (metal radical) + 中. Distinguish from 手表 (wristwatch). Duration: 五分钟 (5 minutes), 一个钟头 (an hour, colloquial).
钅	jīn	metal radical (金字旁)	钟、银、钱都有钅字旁。	Zhōng, yín, qián dōu yǒu jīnzìpáng.	钟, 银, 钱 all have the metal radical.	Simplified form of 金 (jīn, gold/metal) as a left-side radical. Marks characters related to metals: 钟 (clock), 银 (silver), 钱 (money), 铁 (iron), 铜 (copper), 铝 (aluminum).
桌子	zhuōzi	table / desk	桌子上有一本书。	Zhuōzi shàng yǒu yì běn shū.	There's a book on the table.	Measure word: 张 (zhāng, for flat surfaces).
苹果	píngguǒ	apple	我每天吃一个苹果。	Wǒ měitiān chī yí ge píngguǒ.	I eat an apple every day.	Also the Apple brand: 苹果公司 (Apple Inc.), 苹果手机 (iPhone).
披萨	pīsà	pizza	我想吃披萨。	Wǒ xiǎng chī pīsà.	I want to eat pizza.	Phonetic loan from Italian "pizza". Also written 比萨 (bǐsà).
汉堡	hànbǎo	hamburger	麦当劳的汉堡很有名。	Màidāngláo de hànbǎo hěn yǒumíng.	McDonald's hamburgers are famous.	Phonetic transliteration; short for 汉堡包 (hànbǎobāo). Same word for the city Hamburg.
派	pài	pie; faction / school	我喜欢苹果派。	Wǒ xǐhuan píngguǒ pài.	I like apple pie.	As "pie": phonetic loan from English. Also means "faction/school" (派系 pàixì), and as a verb "to dispatch/send" (派人 = send someone).
啤酒	píjiǔ	beer	我不喝啤酒。	Wǒ bù hē píjiǔ.	I don't drink beer.	啤 is phonetic (from "beer") + 酒 (alcohol). Measure word: 瓶 (píng, bottle) or 杯 (bēi, glass). Famous: 青岛啤酒 (Qīngdǎo / Tsingtao).
白酒	báijiǔ	baijiu (Chinese distilled spirit)	白酒很烈。	Báijiǔ hěn liè.	Baijiu is very strong.	白 (white/clear) + 酒. Traditional Chinese distilled liquor, typically 40–60% ABV, usually made from sorghum. Famous brand: 茅台 (Máotái).
早上好	zǎoshang hǎo	good morning	老师，早上好！	Lǎoshī, zǎoshang hǎo!	Good morning, teacher!	Used until roughly noon. Often shortened to just 早！ (zǎo!) among friends/colleagues.
下午好	xiàwǔ hǎo	good afternoon	下午好，各位！	Xiàwǔ hǎo, gèwèi!	Good afternoon, everyone!	Less common in casual speech than 早上好 / 晚上好; more typical in formal or professional settings.
晚上好	wǎnshang hǎo	good evening	晚上好！欢迎光临。	Wǎnshang hǎo! Huānyíng guānglín.	Good evening! Welcome.	Used from evening onward. NOT interchangeable with 晚安 (which is for going to bed).
晚安	wǎn'ān	good night	晚安，做个好梦！	Wǎn'ān, zuò ge hǎo mèng!	Good night, sweet dreams!	Literally "night peace" — used only when parting for the night / going to bed, NOT as a general evening greeting.
正在	zhèngzài	(in the middle of) doing / -ing (adverb)	我正在吃饭。	Wǒ zhèngzài chīfàn.	I'm (in the middle of) eating.	Goes BEFORE the verb.
过去	guòqù	past / in the past; to pass by / go over	过去他住在中国。	Guòqù tā zhù zài Zhōngguó.	In the past he lived in China.	Time adverb — placed at the start of the sentence or before the verb.
